STD_YM,CTPV_CD,CTGG_CD,DAY_CD,INDTY_CGR_NM,CTPV_NM,CTGG_NM,RANK,VST_RAT
201907,11,11440,5,분식,서울특별시,마포구,4,3.33
201907,11,11440,5,양식,서울특별시,마포구,5,1.98
201907,11,11440,5,중식,서울특별시,마포구,3,3.57
201907,11,11440,5,카페/패스트푸드,서울특별시,마포구,1,57.53
201907,11,11440,5,한식,서울특별시,마포구,2,32.53
201907,11,11440,6,양식,서울특별시,마포구,3,3.16
201907,11,11440,6,일식,서울특별시,마포구,5,0.32
201907,11,11440,6,중식,서울특별시,마포구,4,2.22
201907,11,11440,6,카페/패스트푸드,서울특별시,마포구,2,36.71
201907,11,11440,6,한식,서울특별시,마포구,1,57.59
201907,11,11440,7,분식,서울특별시,마포구,5,1.52
201907,11,11440,7,양식,서울특별시,마포구,3,2.27
201907,11,11440,7,중식,서울특별시,마포구,4,2.27
201907,11,11440,7,카페/패스트푸드,서울특별시,마포구,2,34.09
201907,11,11440,7,한식,서울특별시,마포구,1,59.47
201907,11,11500,1,일식,서울특별시,강서구,3,19.53
201907,11,11500,1,중식,서울특별시,강서구,5,3.64
201907,11,11500,1,카페/패스트푸드,서울특별시,강서구,2,23.92
201907,11,11500,1,편의점,서울특별시,강서구,4,3.88
201907,11,11500,1,한식,서울특별시,강서구,1,42.05
201907,11,11500,2,일식,서울특별시,강서구,3,16.99
201907,11,11500,2,중식,서울특별시,강서구,5,4.32
201907,11,11500,2,카페/패스트푸드,서울특별시,강서구,2,26.24
201907,11,11500,2,편의점,서울특별시,강서구,4,4.34
201907,11,11500,2,한식,서울특별시,강서구,1,40.78
201907,11,11500,3,일식,서울특별시,강서구,3,15.45
201907,11,11500,3,중식,서울특별시,강서구,4,7.45
201907,11,11500,3,카페/패스트푸드,서울특별시,강서구,2,28.35
201907,11,11500,3,편의점,서울특별시,강서구,5,4.79
201907,11,11500,3,한식,서울특별시,강서구,1,37.53
201907,11,11500,4,일식,서울특별시,강서구,3,15.68
201907,11,11500,4,중식,서울특별시,강서구,4,5.08
201907,11,11500,4,카페/패스트푸드,서울특별시,강서구,2,27.4
201907,11,11500,4,편의점,서울특별시,강서구,5,3.77
201907,11,11500,4,한식,서울특별시,강서구,1,39.87
201907,11,11500,5,일식,서울특별시,강서구,3,14.4
201907,11,11500,5,중식,서울특별시,강서구,4,5.6
201907,11,11500,5,카페/패스트푸드,서울특별시,강서구,2,27.49
201907,11,11500,5,편의점,서울특별시,강서구,5,4.16
201907,11,11500,5,한식,서울특별시,강서구,1,40.05
201907,11,11500,6,양식,서울특별시,강서구,4,5.71
201907,11,11500,6,일식,서울특별시,강서구,3,6.12
201907,11,11500,6,중식,서울특별시,강서구,5,4.73
201907,11,11500,6,카페/패스트푸드,서울특별시,강서구,1,36.6
201907,11,11500,6,한식,서울특별시,강서구,2,36.6
201907,11,11500,7,양식,서울특별시,강서구,4,7.87
201907,11,11500,7,중식,서울특별시,강서구,3,8.18
201907,11,11500,7,카페/패스트푸드,서울특별시,강서구,1,41.11
201907,11,11500,7,편의점,서울특별시,강서구,5,4.39
201907,11,11500,7,한식,서울특별시,강서구,2,31.57
201907,11,11530,1,동남아,서울특별시,구로구,4,2.38
201907,11,11530,1,분식,서울특별시,구로구,5,1.61
201907,11,11530,1,일식,서울특별시,구로구,2,12.18
201907,11,11530,1,중식,서울특별시,구로구,3,4.87
201907,11,11530,1,한식,서울특별시,구로구,1,77.55
201907,11,11530,2,동남아,서울특별시,구로구,4,2.74
201907,11,11530,2,분식,서울특별시,구로구,5,1.57
201907,11,11530,2,일식,서울특별시,구로구,2,10.9
201907,11,11530,2,중식,서울특별시,구로구,3,5.59
201907,11,11530,2,한식,서울특별시,구로구,1,77.86
201907,11,11530,3,동남아,서울특별시,구로구,5,3.09
201907,11,11530,3,분식,서울특별시,구로구,4,3.23
201907,11,11530,3,일식,서울특별시,구로구,2,10.16
201907,11,11530,3,중식,서울특별시,구로구,3,7.97
201907,11,11530,3,한식,서울특별시,구로구,1,74.18
201907,11,11530,4,동남아,서울특별시,구로구,4,3.42
201907,11,11530,4,분식,서울특별시,구로구,5,2.18
201907,11,11530,4,일식,서울특별시,구로구,2,11.81
201907,11,11530,4,중식,서울특별시,구로구,3,6.14
201907,11,11530,4,한식,서울특별시,구로구,1,74.51
201907,11,11530,5,동남아,서울특별시,구로구,4,3.86
201907,11,11530,5,일식,서울특별시,구로구,2,12.13
201907,11,11530,5,중식,서울특별시,구로구,3,8
201907,11,11530,5,카페/패스트푸드,서울특별시,구로구,5,1.98
201907,11,11530,5,한식,서울특별시,구로구,1,72.15
201907,11,11530,6,분식,서울특별시,구로구,3,16.67
201907,11,11530,6,중식,서울특별시,구로구,1,50
201907,11,11530,6,한식,서울특별시,구로구,2,33.33
201907,11,11530,7,분식,서울특별시,구로구,1,50
201907,11,11530,7,카페/패스트푸드,서울특별시,구로구,2,25
201907,11,11530,7,한식,서울특별시,구로구,3,25
201907,11,11545,1,분식,서울특별시,금천구,4,6.18
201907,11,11545,1,중식,서울특별시,금천구,5,2.15
201907,11,11545,1,카페/패스트푸드,서울특별시,금천구,1,36.53
201907,11,11545,1,편의점,서울특별시,금천구,3,24.71
201907,11,11545,1,한식,서울특별시,금천구,2,29.01
201907,11,11545,2,분식,서울특별시,금천구,4,5.21
201907,11,11545,2,중식,서울특별시,금천구,5,1.76
201907,11,11545,2,카페/패스트푸드,서울특별시,금천구,1,37.89
201907,11,11545,2,편의점,서울특별시,금천구,3,25.3
201907,11,11545,2,한식,서울특별시,금천구,2,28.42
201907,11,11545,3,분식,서울특별시,금천구,4,5.02
201907,11,11545,3,중식,서울특별시,금천구,5,3.41
201907,11,11545,3,카페/패스트푸드,서울특별시,금천구,1,35.12
201907,11,11545,3,편의점,서울특별시,금천구,3,23.9
201907,11,11545,3,한식,서울특별시,금천구,2,31.01
201907,11,11545,4,분식,서울특별시,금천구,4,4.43
201907,11,11545,4,중식,서울특별시,금천구,5,3.23
201907,11,11545,4,카페/패스트푸드,서울특별시,금천구,1,38.04
201907,11,11545,4,편의점,서울특별시,금천구,2,27.32
201907,11,11545,4,한식,서울특별시,금천구,3,25.7
201907,11,11545,5,분식,서울특별시,금천구,4,5.77
201907,11,11545,5,중식,서울특별시,금천구,5,2.78
201907,11,11545,5,카페/패스트푸드,서울특별시,금천구,1,39.36
201907,11,11545,5,편의점,서울특별시,금천구,3,23.26
201907,11,11545,5,한식,서울특별시,금천구,2,27.93
201907,11,11545,6,분식,서울특별시,금천구,2,20
201907,11,11545,6,중식,서울특별시,금천구,5,1.9
201907,11,11545,6,카페/패스트푸드,서울특별시,금천구,4,14.29
201907,11,11545,6,편의점,서울특별시,금천구,1,46.67
201907,11,11545,6,한식,서울특별시,금천구,3,16.19
201907,11,11545,7,분식,서울특별시,금천구,4,4.44
201907,11,11545,7,중식,서울특별시,금천구,3,11.11
201907,11,11545,7,카페/패스트푸드,서울특별시,금천구,2,15.56
201907,11,11545,7,편의점,서울특별시,금천구,1,62.22
201907,11,11545,7,한식,서울특별시,금천구,5,4.44
201907,11,11560,1,분식,서울특별시,영등포구,3,14.46
201907,11,11560,1,중식,서울특별시,영등포구,4,6.79
201907,11,11560,1,카페/패스트푸드,서울특별시,영등포구,2,18.74
201907,11,11560,1,편의점,서울특별시,영등포구,5,4.35
201907,11,11560,1,한식,서울특별시,영등포구,1,52.74
201907,11,11560,2,분식,서울특별시,영등포구,3,14.19
201907,11,11560,2,중식,서울특별시,영등포구,4,7.98
201907,11,11560,2,카페/패스트푸드,서울특별시,영등포구,2,16.46
201907,11,11560,2,편의점,서울특별시,영등포구,5,4.45
201907,11,11560,2,한식,서울특별시,영등포구,1,54.61
201907,11,11560,3,분식,서울특별시,영등포구,3,15.05
201907,11,11560,3,중식,서울특별시,영등포구,4,6.92
201907,11,11560,3,카페/패스트푸드,서울특별시,영등포구,2,19.39
201907,11,11560,3,편의점,서울특별시,영등포구,5,4.96
201907,11,11560,3,한식,서울특별시,영등포구,1,49.82
201907,11,11560,4,분식,서울특별시,영등포구,2,16.58
201907,11,11560,4,중식,서울특별시,영등포구,4,6.58
201907,11,11560,4,카페/패스트푸드,서울특별시,영등포구,3,16.31
201907,11,11560,4,편의점,서울특별시,영등포구,5,4.82
201907,11,11560,4,한식,서울특별시,영등포구,1,51.8
201907,11,11560,5,분식,서울특별시,영등포구,3,15.47
201907,11,11560,5,중식,서울특별시,영등포구,4,8.92
201907,11,11560,5,카페/패스트푸드,서울특별시,영등포구,2,20.37
